Plant name,Unit No.,Type,Model,Status,Capacity (MW),Begin building,Commercial operation (planned),Closed
Hanbit,1,PWR,WH F,Operational,960,4 Jun 1981,25 Aug 1986,
Hanbit,2,PWR,WH F,Operational,958,10 Dec 1981,10 Jun 1987,
Hanbit,3,PWR,OPR-1000,Operational,997,23 Dec 1989,31 Mar 1995,
Hanbit,4,PWR,OPR-1000,Operational,997,26 May 1990,1 Jan 1996,
Hanbit,5,PWR,OPR-1000,Operational,997,29 Jun 1997,21 May 2002,
Hanbit,6,PWR,OPR-1000,Operational,995,20 Nov 1997,24 Dec 2002,
Hanul,1,PWR,CP1 (France),Operational,960,26 Jan 1983,10 Sep 1988,
Hanul,2,PWR,CP1 (France),Operational,962,5 Jul 1983,30 Sep 1989,
Hanul,3,PWR,OPR-1000,Operational,994,21 Jul 1993,11 Aug 1998,
Hanul,4,PWR,OPR-1000,Operational,998,1 Nov 1993,31 Dec 1999,
Hanul,5,PWR,OPR-1000,Operational,996,1 Oct 1999,29 Jul 2004,
Hanul,6,PWR,OPR-1000,Operational,996,29 Sep 2000,22 Apr 2005,
Shin-Hanul,1,PWR,APR-1400,Operational,1340,10 Jul 2012,7 Dec 2022,
Shin-Hanul,2,PWR,APR-1400,Operational,1340,19 Jul 2012,5 Apr 2024,
Shin-Hanul,3,PWR,APR-1400,Under construction,1340,20 May 2025,(2032),
Shin-Hanul,4,PWR,APR-1400,Planned,1340,,(2033),
Kori,1,PWR,WH 60,Shut down,576,27 Apr 1972,29 Apr 1978,18 Jun 2017
Kori,2,PWR,WH F,Operational,640,4 Dec 1977,25 Jul 1983,
Kori,3,PWR,WH F,Operational,1011,1 Oct 1979,30 Sep 1985,
Kori,4,PWR,WH F,Operational,1012,1 Apr 1980,29 Apr 1986,
Shin-Kori,1,PWR,OPR-1000,Operational,996,16 Jun 2006,28 Feb 2011,
Shin-Kori,2,PWR,OPR-1000,Operational,996,5 Jun 2007,20 Jul 2012,
Saeul,1,PWR,APR-1400,Operational,1416,16 Oct 2008,15 Jan 2016,
Saeul,2,PWR,APR-1400,Operational,1418,19 Aug 2009,29 Aug 2019,
Saeul,3,PWR,APR-1400,Under construction,1400,1 Apr 2017,,
Saeul,4,PWR,APR-1400,Under construction,1400,20 Sep 2018,,
Wolsong,1,PHWR,CANDU-6,Shut down,657,30 Oct 1977,22 Apr 1983,24 Dec 2019
Wolsong,2,PHWR,CANDU-6,Operational,655,22 Jun 1992,1 Jul 1997,
Wolsong,3,PHWR,CANDU-6,Operational,684,17 Mar 1994,1 Jul 1998,
Wolsong,4,PHWR,CANDU-6,Operational,688,22 Jul 1994,1 Oct 1999,
Shin-Wolsong,1,PWR,OPR-1000,Operational,991,20 Nov 2007,31 Jul 2012,
Shin-Wolsong,2,PWR,OPR-1000,Operational,960,23 Sep 2008,26 Feb 2015,
